launch_id,date,year,month,rocket,launch_site,country,operator,mission_type,orbit,payload_mass_kg,n_payloads,launch_success,failure_mode,crewed,crew_size,booster_reused,launch_cost_m_usd,rocket_era,rocket_type,payload_to_leo_kg,cost_per_kg_usd,payload_utilization_pct,mission_outcome
SL000013,2004-01-23,2004,1,Pegasus XL,Mahia Peninsula LC-1,USA,Orbital Sciences,Astronomy,LEO,143,1,1,None - Successful Launch,0,0,0,30.8,Post-Cold War,air-launch,200,215384.61538461538,71.5,Success
SL000014,2018-02-28,2018,2,Titan III,Wallops Flight Facility,USA,USAF,Earth Observation,GEO,2462,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,5896,18277.82290820471,41.757123473541384,Success
SL000015,1988-05-10,1988,5,Long March 1,Wenchang Space Launch,China,CASC,Communications,GEO,56,1,1,None - Successful Launch,0,0,0,23.3,Cold War,orbital,136,416071.4285714286,41.17647058823529,Success
SL000016,1976-11-23,1976,11,Soyuz-U,Plesetsk Cosmodrome,USSR,TsSKB,Defense/Intelligence,LEO,468,1,1,None - Successful Launch,0,0,0,41.1,Cold War,orbital,3107,87820.51282051283,15.062761506276152,Success
SL000017,1996-02-28,1996,2,Rokot,Plesetsk Cosmodrome,Russia,Khrunichev,Astronomy,LEO,228,1,1,None - Successful Launch,0,0,0,39.3,Post-Soviet,orbital,884,172368.42105263157,25.791855203619914,Success
SL000018,1966-07-20,1966,7,Titan II GLV,Wallops Flight Facility,USA,USAF,Earth Observation,SSO,422,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,1632,106635.0710900474,25.857843137254903,Success
SL000019,2018-07-14,2018,7,Soyuz-2.1b,Baikonur Cosmodrome,Russia,TsSKB,Space Station Resupply,ISS,1213,1,1,None - Successful Launch,0,0,0,54.6,Modern,orbital,3719,45012.366034624894,32.61629470287712,Success
SL000020,2003-01-10,2003,1,Proton-M,Svobodny / Vostochny,Russia,Khrunichev,Rideshare,SSO,5865,1,1,None - Successful Launch,0,0,0,94.2,Modern,orbital,10432,16061.381074168798,56.221242331288344,Success
SL000021,2014-03-06,2014,3,Long March 3B,Jiuquan Satellite Launch,China,CASC,Navigation/GPS,MEO,1712,1,1,None - Successful Launch,0,0,0,84.1,Modern,orbital,5216,49123.831775700935,32.82208588957055,Success
SL000022,1984-08-20,1984,8,Cyclone-2,Plesetsk Cosmodrome,USSR,Yuzhnoye,IoT/Cubesat,SSO,575,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,1360,78260.86956521739,42.279411764705884,Success
SL000023,2024-07-15,2024,7,New Glenn,Wallops Flight Facility,USA,Blue Origin,Weather,SSO,8268,1,0,software,0,0,0,0.5,New Space,orbital,20411,60.47411707789066,40.50756944784675,Failure
SL000024,2021-04-06,2021,4,Unha-3,Hammaguira,Other,KCST,Rideshare,SSO,17,23,0,guidance failure,0,0,0,58.3,Modern,orbital,45,3429411.7647058824,37.77777777777778,Failure
SL000025,2015-11-10,2015,11,Minotaur I,Cape Canaveral SLC-40,USA,Orbital ATK,Earth Observation,LEO,132,1,1,None - Successful Launch,0,0,0,31.4,Modern,orbital,263,237878.78787878787,50.19011406844106,Success
SL000026,1974-03-09,1974,3,Soyuz-U,Baikonur Cosmodrome,USSR,TsSKB,Human Spaceflight,LEO,1513,1,1,None - Successful Launch,1,7,0,40.4,Cold War,orbital,3107,26701.916721744878,48.69649179272611,Success
SL000027,1989-08-01,1989,8,Soyuz 11A511,Kapustin Yar,USSR,OKB-1,Weather,LEO,1701,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,3129,26455.026455026455,54.36241610738255,Success
SL000028,1965-06-11,1965,6,Proton-K,Baikonur Cosmodrome,USSR,Khrunichev,Scientific,SSO,10123,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,9525,4445.322532845994,106.2782152230971,Success
SL000029,1972-10-22,1972,10,Voskhod,Baikonur Cosmodrome,USSR,OKB-1,Earth Observation,LEO,2744,1,0,engine failure,0,0,0,45.0,Cold War,orbital,2494,16399.41690962099,110.02405773857258,Failure
SL000030,2008-05-11,2008,5,Delta IV Medium,SpaceX Starbase (Boca Chica),USA,Boeing,Lunar,TLI,874,1,1,None - Successful Launch,0,0,0,208.3,Modern,orbital,3900,238329.5194508009,22.41025641025641,Success
SL000031,2013-10-15,2013,10,Long March 2D,Xichang Satellite Launch,China,CASC,Communications,GEO,763,1,1,None - Successful Launch,0,0,0,22.1,Modern,orbital,1587,28964.61336828309,48.07813484562067,Success
SL000032,2024-10-19,2024,10,Hyperbola-1,Jiuquan Satellite Launch,China,iSpace,Lunar,Interplanetary,65,1,1,None - Successful Launch,0,0,0,11.3,New Space,small-sat,117,173846.15384615384,55.55555555555556,Success
SL000033,1982-10-13,1982,10,Cosmos-3M,Kapustin Yar,USSR,PO Polyot,Space Station Module,ISS,349,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,680,128939.82808022923,51.3235294117647,Success
SL000034,1985-02-15,1985,2,Sputnik (R-7),Plesetsk Cosmodrome,USSR,OKB-1,Space Station Resupply,ISS,101,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,226,445544.55445544556,44.690265486725664,Success
SL000035,1990-04-14,1990,4,Proton-K,Baikonur Cosmodrome,USSR,Khrunichev,Space Station Resupply,ISS,6857,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,9525,6562.636721598366,71.98950131233596,Success
SL000036,1974-01-07,1974,1,Sputnik (R-7),Baikonur Cosmodrome,USSR,OKB-1,Scientific,LEO,249,1,0,engine failure,0,0,0,45.0,Cold War,orbital,226,180722.89156626505,110.17699115044249,Failure
SL000037,1970-07-20,1970,7,Vanguard,Vandenberg SFB SLC-4E,USA,NRL,Communications,GEO,1,1,0,upper stage failure,0,0,0,45.0,Cold War,orbital,4,45000000.0,25.0,Failure
SL000038,1990-09-20,1990,9,Soyuz-U,Baikonur Cosmodrome,USSR,TsSKB,Astronomy,LEO,2030,1,1,None - Successful Launch,0,0,0,34.1,Cold War,orbital,3107,16798.029556650246,65.33633730286451,Success
SL000039,1976-09-02,1976,9,Vanguard,Cape Canaveral SLC-40,USA,NRL,Earth Observation,GEO,1,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,4,45000000.0,25.0,Success
SL000040,2007-09-14,2007,9,Proton-M,Svobodny / Vostochny,Russia,Khrunichev,Commercial Satellite,MEO,4108,1,1,None - Successful Launch,0,0,0,97.5,Modern,orbital,10432,23734.177215189873,39.37883435582822,Success
SL000041,1988-11-17,1988,11,Titan III,Kennedy Space Center LC-39A,USA,USAF,Astronomy,SSO,2280,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,5896,19736.842105263157,38.670284938941656,Success
SL000042,2018-05-28,2018,5,Antares,Wallops Flight Facility,USA,Northrop,Rideshare,SSO,3991,14,1,None - Successful Launch,0,0,0,88.4,Modern,orbital,3628,22149.83713355049,110.00551267916208,Success
SL000043,2009-06-05,2009,6,Long March 2F,Jiuquan Satellite Launch,China,CASC,Weather,LEO,3164,1,1,None - Successful Launch,0,0,0,23.3,Modern,crewed,3810,7364.09608091024,83.04461942257217,Success
SL000044,1981-05-17,1981,5,Voskhod,Baikonur Cosmodrome,USSR,OKB-1,Space Station Resupply,LEO,1111,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,2494,40504.05040504051,44.54691259021652,Success
SL000045,2018-05-08,2018,5,Proton-M,Plesetsk Cosmodrome,Russia,Khrunichev,Earth Observation,SSO,5268,1,1,None - Successful Launch,0,0,0,88.8,Modern,orbital,10432,16856.49202733485,50.49846625766872,Success
SL000046,2017-01-20,2017,1,Minotaur IV,SpaceX Starbase (Boca Chica),USA,Orbital ATK,Rideshare,SSO,250,1,1,None - Successful Launch,0,0,0,57.5,Modern,orbital,786,230000.0,31.806615776081426,Success
SL000047,1985-04-07,1985,4,Ariane 1,Kourou ELA-4 (Ariane 6),Europe,CNES,Space Station Module,LEO,198,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,839,227272.72727272726,23.59952324195471,Success
SL000048,1980-04-01,1980,4,Cosmos-3M,Kapustin Yar,USSR,PO Polyot,Space Station Module,LEO,288,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,680,156250.0,42.35294117647059,Success
SL000049,2008-11-03,2008,11,Taurus,Cape Canaveral SLC-40,USA,Orbital Sciences,Earth Observation,HEO,185,1,1,None - Successful Launch,0,0,0,41.5,Post-Cold War,orbital,612,224324.32432432432,30.22875816993464,Success
SL000050,1971-06-01,1971,6,Cosmos-3M,Plesetsk Cosmodrome,USSR,PO Polyot,Communications,GEO,552,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,680,81521.73913043478,81.17647058823529,Success
SL000051,1975-09-14,1975,9,Proton-K,Kapustin Yar,USSR,Khrunichev,Earth Observation,LEO,3491,1,0,structural failure,0,0,0,45.0,Cold War,orbital,9525,12890.289315382412,36.650918635170605,Failure
SL000052,1960-03-03,1960,3,Scout,Vandenberg SFB SLC-4E,USA,LTV,Human Spaceflight,ISS,28,1,1,None - Successful Launch,1,7,0,45.0,Cold War,orbital,90,1607142.857142857,31.11111111111111,Success
SL000053,2016-05-06,2016,5,Diamant,Kourou ELA-4 (Ariane 6),Europe,CNES,Scientific,HEO,17,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,36,2647058.8235294116,47.22222222222222,Success
SL000054,2006-09-12,2006,9,H-IIA,Uchinoura Space Center,Japan,JAXA,Commercial Satellite,GEO,2823,1,0,structural failure,0,0,0,76.5,Modern,orbital,4535,27098.831030818277,62.24917309812569,Failure
SL000055,2010-09-12,2010,9,Long March 4B,Taiyuan Satellite Launch,China,CASC,Communications,GEO,689,1,1,None - Successful Launch,0,0,0,24.9,Modern,orbital,1905,36139.33236574746,36.167979002624676,Success
SL000056,2015-03-20,2015,3,Juno I,Cape Canaveral SLC-41,USA,Army,Space Telescope,SSO,2,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,6,22500000.0,33.33333333333333,Success
SL000057,1989-02-07,1989,2,Sputnik (R-7),Baikonur Cosmodrome,USSR,OKB-1,Military Reconnaissance,LEO,195,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,226,230769.23076923078,86.28318584070797,Success
SL000058,1997-03-15,1997,3,Vanguard,Kennedy Space Center LC-39A,USA,NRL,Earth Observation,LEO,2,1,0,structural failure,0,0,0,45.0,Cold War,orbital,4,22500000.0,50.0,Failure
SL000059,1971-09-18,1971,9,Jupiter-C,Cape Canaveral SLC-40,USA,Army,Defense/Intelligence,LEO,2,1,0,fairing failure,0,0,0,45.0,Cold War,suborbital,4,22500000.0,50.0,Failure
SL000060,1969-02-20,1969,2,Sputnik (R-7),Plesetsk Cosmodrome,USSR,OKB-1,Earth Observation,GEO,97,1,0,upper stage failure,0,0,0,45.0,Cold War,orbital,226,463917.5257731959,42.92035398230089,Failure
SL000061,2006-10-03,2006,10,Soyuz-2.1a,Plesetsk Cosmodrome,Russia,TsSKB,Weather,LEO,1377,1,1,None - Successful Launch,0,0,0,48.3,Modern,orbital,3356,35076.25272331155,41.03098927294398,Success
SL000062,1990-10-24,1990,10,Mu-4S,Uchinoura Space Center,Japan,ISAS,Commercial Satellite,LEO,29,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,81,1551724.1379310344,35.80246913580247,Success
SL000063,1997-05-28,1997,5,Diamant,Guiana Space Centre ELA-3,Europe,CNES,Lunar,Interplanetary,10,1,0,engine failure,0,0,0,45.0,Cold War,orbital,36,4500000.0,27.77777777777778,Failure
SL000064,2014-05-25,2014,5,Soyuz-FG,Plesetsk Cosmodrome,Russia,TsSKB,Interplanetary,TLI,2258,1,1,None - Successful Launch,0,0,0,66.2,Modern,orbital,3265,29317.980513728962,69.15773353751914,Success
SL000065,2003-01-26,2003,1,Proton-M,Baikonur Cosmodrome,Russia,Khrunichev,Earth Observation,SSO,6711,1,1,None - Successful Launch,0,0,0,91.0,Modern,orbital,10432,13559.827149456118,64.33090490797547,Success
SL000066,1996-02-17,1996,2,Scout,Kapustin Yar Site 86,Other,LTV,Communications,GEO,67,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,90,671641.7910447761,74.44444444444444,Success
SL000067,1996-07-22,1996,7,Ariane 4,Guiana Space Centre ELA-3,Europe,Arianespace,Lunar,TLI,1779,1,1,None - Successful Launch,0,0,0,166.2,Post-Cold War,orbital,2222,93423.27150084317,80.06300630063006,Success
SL000068,1981-02-12,1981,2,Cosmos-3M,Kapustin Yar,USSR,PO Polyot,Space Telescope,HEO,169,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,680,266272.18934911245,24.852941176470587,Success
SL000069,1963-01-17,1963,1,Sputnik (R-7),Kapustin Yar,USSR,OKB-1,Scientific,GTO,92,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,226,489130.4347826087,40.707964601769916,Success
SL000070,1988-06-27,1988,6,Ariane 1,Guiana Space Centre ELA-3,Europe,CNES,Defense/Intelligence,GEO,507,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,839,88757.39644970415,60.42908224076281,Success
SL000071,1976-12-22,1976,12,Vanguard,Vandenberg SFB SLC-4E,USA,NRL,Defense/Intelligence,LEO,2,1,0,upper stage failure,0,0,0,45.0,Cold War,orbital,4,22500000.0,50.0,Failure
SL000072,1986-10-20,1986,10,Lambda 4S,Uchinoura Space Center,Japan,ISAS,Defense/Intelligence,GEO,5,1,0,structural failure,0,0,0,45.0,Cold War,orbital,11,9000000.0,45.45454545454545,Failure
SL000073,2020-02-07,2020,2,Minotaur I,SpaceX Starbase (Boca Chica),USA,Orbital ATK,Defense/Intelligence,LEO,89,1,1,None - Successful Launch,0,0,0,35.0,Modern,orbital,263,393258.42696629214,33.840304182509506,Success
SL000074,1977-04-28,1977,4,Vostok-K,Kapustin Yar,USSR,OKB-1,Scientific,HEO,1478,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,2145,30446.549391069013,68.90442890442891,Success
SL000075,1966-01-23,1966,1,Soyuz 11A511,SpaceX Starbase (Boca Chica),Other,OKB-1,Human Spaceflight,LEO,1921,1,0,engine failure,1,4,0,45.0,Cold War,orbital,3129,23425.29932326913,61.39341642697348,Failure
SL000076,1980-10-25,1980,10,Cyclone-2,Baikonur Cosmodrome,USSR,Yuzhnoye,Communications,GEO,911,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,1360,49396.26783754116,66.98529411764706,Success
SL000077,1980-04-25,1980,4,Cyclone-2,Kapustin Yar,USSR,Yuzhnoye,Communications,GTO,422,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,1360,106635.0710900474,31.029411764705884,Success
SL000078,2006-12-23,2006,12,Soyuz-FG,Baikonur Cosmodrome,Russia,TsSKB,IoT/Cubesat,LEO,1289,1,1,None - Successful Launch,0,0,0,78.1,Modern,orbital,3265,60589.604344453066,39.479326186830015,Success
SL000079,1996-11-06,1996,11,Saturn IB,Wallops Flight Facility,USA,NASA,Technology Demonstration,GTO,10477,1,1,None - Successful Launch,0,0,0,1602.2,Cold War,orbital,9525,152925.4557602367,109.99475065616797,Success
SL000080,2015-02-21,2015,2,Diamant,Guiana Space Centre ELA-3,Europe,CNES,Weather,GEO,16,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,36,2812500.0,44.44444444444444,Success
SL000081,2006-07-27,2006,7,Proton-M,Baikonur Cosmodrome,Russia,Khrunichev,Space Station Resupply,ISS,3261,1,0,structural failure,0,0,0,117.8,Modern,orbital,10432,36123.88837779822,31.259585889570552,Failure
SL000082,1986-06-26,1986,6,Diamant,Kourou ELA-4 (Ariane 6),Europe,CNES,Technology Demonstration,LEO,23,1,0,range safety,0,0,0,45.0,Cold War,orbital,36,1956521.7391304348,63.888888888888886,Failure
SL000083,2017-01-09,2017,1,Atlas-Centaur,Vandenberg SFB SLC-4E,USA,GD,Human Spaceflight,LEO,449,1,1,None - Successful Launch,1,5,0,45.0,Cold War,orbital,2041,100222.7171492205,21.99902008819206,Success
SL000084,1973-12-08,1973,12,Vostok-K,Plesetsk Cosmodrome,USSR,OKB-1,Scientific,SSO,1353,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,2145,33259.42350332594,63.07692307692307,Success
SL000085,1962-11-07,1962,11,Thor-Delta,Wallops Flight Facility,USA,NASA,Scientific,LEO,41,1,0,structural failure,0,0,0,1602.2,Cold War,orbital,102,39078048.780487806,40.19607843137255,Failure
SL000086,1968-03-07,1968,3,Cosmos-3M,Kapustin Yar,USSR,PO Polyot,Defense/Intelligence,HEO,674,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,680,66765.57863501484,99.11764705882354,Success
SL000087,2011-05-24,2011,5,Long March 4B,Jiuquan Satellite Launch,China,CASC,Lunar,TLI,954,1,1,None - Successful Launch,0,0,0,25.0,Modern,orbital,1905,26205.45073375262,50.07874015748032,Success
SL000088,1989-07-21,1989,7,Soyuz-U,Plesetsk Cosmodrome,USSR,TsSKB,IoT/Cubesat,SSO,1163,1,1,None - Successful Launch,0,0,0,35.7,Cold War,orbital,3107,30696.474634565777,37.43160605085291,Success
SL000089,1972-12-28,1972,12,Voskhod,Kapustin Yar,USSR,OKB-1,Defense/Intelligence,GTO,580,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,2494,77586.20689655172,23.25581395348837,Success
SL000090,1992-08-26,1992,8,Lambda 4S,Uchinoura Space Center,Japan,ISAS,IoT/Cubesat,SSO,4,1,0,engine failure,0,0,0,45.0,Cold War,orbital,11,11250000.0,36.36363636363637,Failure
SL000091,1972-02-28,1972,2,Proton-K,Kapustin Yar,USSR,Khrunichev,Communications,GEO,1835,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,9525,24523.160762942778,19.26509186351706,Success
SL000092,2009-08-09,2009,8,Taurus,SpaceX Starbase (Boca Chica),USA,Orbital Sciences,Commercial Satellite,GTO,601,1,0,structural failure,0,0,0,35.6,Post-Cold War,orbital,612,59234.608985024955,98.20261437908496,Failure
SL000093,1988-11-04,1988,11,Ariane 4,Kourou ELA-4 (Ariane 6),Europe,Arianespace,Rideshare,SSO,1580,1,1,None - Successful Launch,0,0,0,166.2,Post-Cold War,orbital,2222,105189.87341772152,71.10711071107112,Success
SL000094,1985-04-12,1985,4,Juno I,Cape Canaveral SLC-40,USA,Army,Military Reconnaissance,SSO,4,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,6,11250000.0,66.66666666666666,Success
SL000095,1981-03-18,1981,3,Scout,Cape Canaveral SLC-40,USA,LTV,Communications,MEO,43,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,90,1046511.6279069767,47.77777777777778,Success
SL000096,2002-09-22,2002,9,Proton-M,Baikonur Cosmodrome,Russia,Khrunichev,Military Reconnaissance,LEO,8140,1,0,engine failure,0,0,0,116.2,Modern,orbital,10432,14275.184275184276,78.02914110429448,Failure
SL000097,1984-02-14,1984,2,Soyuz 11A511,Baikonur Cosmodrome,USSR,OKB-1,Navigation/GPS,GEO,2649,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,3129,16987.542468856172,84.65963566634707,Success
SL000098,1968-09-22,1968,9,Vanguard,Wallops Flight Facility,USA,NRL,Human Spaceflight,LEO,2,1,1,None - Successful Launch,1,6,0,45.0,Cold War,orbital,4,22500000.0,50.0,Success
SL000099,1970-10-12,1970,10,Scout,Wallops Flight Facility,USA,LTV,Earth Observation,GEO,58,1,0,guidance failure,0,0,0,45.0,Cold War,orbital,90,775862.0689655172,64.44444444444444,Failure
SL000100,2023-05-05,2023,5,GSLV Mk III (LVM3),Satish Dhawan Space Centre,India,ISRO,Space Station Module,LEO,2778,1,1,None - Successful Launch,0,0,0,89.9,Modern,orbital,4535,32361.411087113032,61.256890848952594,Success
SL000101,2022-12-23,2022,12,Titan II GLV,Cape Canaveral SLC-41,USA,USAF,Weather,SSO,1233,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,1632,36496.3503649635,75.55147058823529,Success
SL000102,2009-03-05,2009,3,Atlas-Centaur,Kapustin Yar Site 86,Other,GD,Technology Demonstration,GEO,1290,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,2041,34883.72093023256,63.20431161195492,Success
SL000103,1979-06-21,1979,6,Jupiter-C,Mahia Peninsula LC-1,USA,Army,Communications,GEO,5,1,1,None - Successful Launch,0,0,0,45.0,Cold War,suborbital,4,9000000.0,125.0,Success
SL000104,2024-12-20,2024,12,New Shepard,Kennedy Space Center LC-39A,USA,Blue Origin,Space Station Module,LEO,0,1,1,None - Successful Launch,0,0,0,0.6,New Space,suborbital,0,,,Success
SL000105,2015-06-19,2015,6,Vanguard,Mahia Peninsula LC-1,USA,NRL,Space Station Resupply,LEO,1,1,0,engine failure,0,0,0,45.0,Cold War,orbital,4,45000000.0,25.0,Failure
SL000106,2011-07-16,2011,7,SLV,Satish Dhawan Space Centre,India,ISRO,IoT/Cubesat,SSO,9,1,1,None - Successful Launch,0,0,0,44.95,Cold War,orbital,18,4994444.444444444,50.0,Success
SL000107,1989-07-27,1989,7,Lambda 4S,Uchinoura Space Center,Japan,ISAS,Scientific,SSO,10,1,0,guidance failure,0,0,0,45.0,Cold War,orbital,11,4500000.0,90.9090909090909,Failure
SL000108,1979-10-09,1979,10,Juno I,Wallops Flight Facility,USA,Army,Communications,GTO,1,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,6,45000000.0,16.666666666666664,Success
SL000109,1968-05-04,1968,5,Voskhod,Plesetsk Cosmodrome,USSR,OKB-1,Human Spaceflight,ISS,1832,1,1,None - Successful Launch,1,6,0,45.0,Cold War,orbital,2494,24563.318777292578,73.45629510825982,Success
SL000110,2022-03-15,2022,3,Kuaizhou-1A,Jiuquan Satellite Launch,China,CASIC,Earth Observation,GTO,56,1,1,None - Successful Launch,0,0,0,4.5,New Space,small-sat,136,80357.14285714286,41.17647058823529,Success
SL000111,1989-09-06,1989,9,Titan IV,SpaceX Starbase (Boca Chica),USA,Lockheed,Rideshare,LEO,5702,1,1,None - Successful Launch,0,0,0,419.3,Post-Cold War,orbital,9833,73535.60154331813,57.988406386657175,Success
SL000112,1975-09-26,1975,9,Soyuz 11A511,Kapustin Yar,USSR,OKB-1,Navigation/GPS,MEO,1386,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,3129,32467.532467532466,44.29530201342282,Success
SL000113,1981-05-09,1981,5,Sputnik (R-7),Baikonur Cosmodrome,USSR,OKB-1,Scientific,LEO,96,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,226,468750.0,42.47787610619469,Success
SL000114,1998-07-07,1998,7,Long March 2D,Xichang Satellite Launch,China,CASC,Defense/Intelligence,SSO,802,1,1,None - Successful Launch,0,0,0,15.7,Modern,orbital,1587,19576.059850374066,50.535601764335226,Success
SL000115,1973-04-17,1973,4,Vostok-K,Baikonur Cosmodrome,USSR,OKB-1,Scientific,SSO,1067,1,0,guidance failure,0,0,0,45.0,Cold War,orbital,2145,42174.32052483599,49.743589743589745,Failure
SL000116,2020-05-13,2020,5,Long March 4B,Jiuquan Satellite Launch,China,CASC,IoT/Cubesat,LEO,449,20,1,None - Successful Launch,0,0,0,21.4,Modern,orbital,1905,47661.46993318485,23.56955380577428,Success
SL000117,2014-08-05,2014,8,Ariane 5 ECA,Kourou ELA-4 (Ariane 6),Europe,Arianespace,Commercial Satellite,GEO,2444,1,1,None - Successful Launch,0,0,0,182.1,Modern,orbital,9525,74509.00163666121,25.65879265091863,Success
SL000118,2011-09-20,2011,9,Long March 1,Taiyuan Satellite Launch,China,CASC,IoT/Cubesat,SSO,32,1,1,None - Successful Launch,0,0,0,23.3,Cold War,orbital,136,728125.0,23.52941176470588,Success
SL000119,1988-08-27,1988,8,Ariane 1,Kourou ELS (Vega),Europe,CNES,Technology Demonstration,GEO,277,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,839,162454.8736462094,33.01549463647199,Success
SL000120,2002-08-28,2002,8,Delta IV Medium,Cape Canaveral SLC-41,USA,Boeing,Interplanetary,Interplanetary,1254,1,1,None - Successful Launch,0,0,0,166.6,Modern,orbital,3900,132854.8644338118,32.15384615384615,Success
SL000121,1998-03-01,1998,3,Mu-4S,Uchinoura Space Center,Japan,ISAS,Lunar,TLI,29,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,81,1551724.1379310344,35.80246913580247,Success
SL000122,2005-05-27,2005,5,Proton-M,Svobodny / Vostochny,Russia,Khrunichev,Earth Observation,LEO,9798,1,1,None - Successful Launch,0,0,0,102.3,Modern,orbital,10432,10440.906307409676,93.92254601226993,Success
